iter	Passed	Remaining
0	5644	5639155
1	9251	4616576
2	14151	4703082
3	19416	4834590
4	32287	6425295
5	41908	6942906
6	54018	7662907
7	69610	8631756
8	73566	8100494
9	83952	8311329
10	93939	8446053
